feat_dim,num_actions,features,preconditions,score
2,2,"[[0.7193438115713737, 0.08816635664071437], [0.38808274858035174, 0.7619142115128108]]","[array([0., 0.]), array([0., 0.])]",0.01574697321088413
2,3,"[[0.7517268608909373, 0.017526640673502514], [0.22949009088698624, 0.8346600282399368], [0.16914730366981612, 0.7176490662226832]]","[array([0., 0., 0.]), array([1., 0., 0.]), array([0., 0., 0.])]",0.011992390479728419
2,4,"[[0.013559825531671788, 0.5353850076349822], [0.8802916107167557, 0.1909944358019604], [0.559738735441939, 0.34571586912914887], [0.2640886479460971, 0.3800297386366688]]","[array([0., 0., 0., 0.]), array([0., 0., 0., 0.]), array([1., 0., 0., 0.]), array([0., 0., 0., 0.])]",0.030197339630604843
2,5,"[[0.25619382636983346, 0.30565738856622027], [0.09145614034781857, 0.9364788985739569], [0.49494494772856834, 0.41617773277319137], [0.8531900534763008, 0.09156424332713309], [0.2351174653667112, 0.928303856077393]]","[array([0., 0., 0., 0., 0.]), array([1., 0., 0., 0., 0.]), array([1., 0., 0., 0., 0.]), array([1., 0., 0., 0., 0.]), array([1., 1., 1., 1., 0.])]",0.03183921105689584
2,6,"[[0.3960833989834234, 0.236400601846251], [0.30451450499197064, 0.3447772822280859], [0.6963483912912143, 0.045220373425280846], [0.22560526900712286, 0.7249208049109457], [0.42821621413586564, 0.01297680415578395], [0.49645092426240545, 0.7691386031786215]]","[array([0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0.]), array([1., 0., 0., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0.]), array([1., 1., 1., 1., 0., 0.]), array([0., 1., 1., 1., 1., 0.])]",0.019393208490935974
3,2,"[[0.14109950864311627, 0.32715724876532626, 0.7694321626267071], [0.596485723095583, 0.7948509441512999, 0.06079054705592035]]","[array([0., 0.]), array([0., 0.])]",0.02121798711624939
3,3,"[[0.1687129838493192, 0.6957546852848762, 0.09479934182037364], [0.6758871901152506, 0.24452372913129783, 0.04529371295934048], [0.9955095823640139, 0.2912150006857851, 0.0891650906726612]]","[array([0., 0., 0.]), array([0., 0., 0.]), array([0., 1., 0.])]",0.039840031692656444
3,4,"[[0.24718592892704383, 0.9064203115297298, 0.09564055777133063], [0.6510266649666828, 0.255238850740403, 0.42030153893346245], [0.23802458719030306, 0.989545113213543, 0.05906538778964365], [0.6627881938779264, 0.4303587725048935, 0.6632366696551663]]","[array([0., 0., 0., 0.]), array([1., 0., 0., 0.]), array([0., 0., 0., 0.]), array([1., 1., 0., 0.])]",0.029757229745429353
3,5,"[[0.016819937135168384, 0.8714614667062949, 0.6429485309438958], [0.35012103733124766, 0.2948636497160132, 0.9604121268504748], [0.8714900944352978, 0.04677490152974162, 0.7943491278012637], [0.9183125548857555, 0.05867259663620161, 0.6294488622969007], [0.9661844571501221, 0.5417014852668849, 0.8045346256252731]]","[array([0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0.]), array([0., 1., 0., 0., 0.]), array([0., 1., 1., 0., 0.]), array([1., 0., 0., 1., 0.])]",0.05830114790676284
3,6,"[[0.9865634176154329, 0.11580632113709177, 0.07397917134635912], [0.5206915836010093, 0.9938054257589718, 0.49638642141999867], [0.900091934754824, 0.49296943287084494, 0.40841120341134174], [0.0521784556498176, 0.9406214409091185, 0.7895396225613314], [0.7900329624416642, 0.5998242517534552, 0.7490979750319317], [0.14590062261078474, 0.708157899031646, 0.47140411317314]]","[array([0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0.]), array([1., 0., 0., 0., 0., 0.]), array([1., 1., 1., 0., 0., 0.]), array([0., 1., 1., 0., 0., 0.]), array([1., 1., 1., 1., 1., 0.])]",0.01251487047202712
