feat_dim,num_actions,features,preconditions,score
2,2,"[[0.31239515878461044, 0.23863704846755363], [0.35832972456497125, 0.1329824172217302]]","[array([0., 0.]), array([1., 0.])]",1.572187709703866e-32
2,3,"[[0.7844489231521562, 0.6171488450533515], [0.7857994874876484, 0.8841276819857107], [0.6810453121662976, 0.21767392596097712]]","[array([0., 0., 0.]), array([1., 0., 0.]), array([1., 0., 0.])]",8.175376090460103e-31
2,4,"[[0.12399077278404469, 0.9661454204872554], [0.32218120663855043, 0.44197091432198277], [0.7362400289349126, 0.7962275926278658], [0.9313399906079277, 0.3798322701983228]]","[array([0., 0., 0., 0.]), array([1., 0., 0., 0.]), array([0., 1., 0., 0.]), array([1., 1., 1., 0.])]",1.1319751509867836e-31
2,5,"[[0.7059044973307751, 0.8213203058549682], [0.3849181485683185, 0.9130733739060644], [0.4876428273284833, 0.09364230948885721], [0.07993684170628446, 0.6179399066540797], [0.25509293681262535, 0.766810427150804]]","[array([0., 0., 0., 0., 0.]), array([1., 0., 0., 0., 0.]), array([1., 1., 0., 0., 0.]), array([0., 0., 1., 0., 0.]), array([1., 1., 0., 0., 0.])]",0.0019323229189160572
2,6,"[[0.3960833989834234, 0.236400601846251], [0.30451450499197064, 0.3447772822280859], [0.6963483912912143, 0.045220373425280846], [0.22560526900712286, 0.7249208049109457], [0.42821621413586564, 0.01297680415578395], [0.49645092426240545, 0.7691386031786215]]","[array([0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0.]), array([1., 0., 0., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0.]), array([1., 1., 1., 1., 0., 0.]), array([0., 1., 1., 1., 1., 0.])]",0.019393208490935974
3,2,"[[0.34362082455319387, 0.1951847547815173, 0.15369115719296456], [0.776995440096322, 0.494874859946406, 0.7815137492158674]]","[array([0., 0.]), array([1., 0.])]",2.2953940561676444e-31
3,3,"[[0.3384944646701774, 0.6176667769770169, 0.4636038124716605], [0.18394695435197272, 0.43778409818263075, 0.5188401043306823], [0.9969488468333162, 0.21808055303954432, 0.3117043658401014]]","[array([0., 0., 0.]), array([1., 0., 0.]), array([0., 1., 0.])]",4.150575553618207e-31
3,4,"[[0.4229108936292826, 0.5028146202538215, 0.9827838848614964], [0.9513648714748415, 0.7270426440423855, 0.8039710410049571], [0.41375325735701685, 0.3339720839455884, 0.3135606287621441], [0.9246557304560479, 0.49047261287216914, 0.3404990459545223]]","[array([0., 0., 0., 0.]), array([0., 0., 0., 0.]), array([1., 0., 0., 0.]), array([1., 1., 1., 0.])]",0.0013280173952362603
3,5,"[[0.9360832625050282, 0.5355642020698709, 0.09574730689644817], [0.23893508554183807, 0.586627244911572, 0.9922098920698026], [0.8153069361670623, 0.12225682976652685, 0.9110464994804007], [0.5327463625776627, 0.7270135117865936, 0.6556852808431101], [0.6874572163379339, 0.00788036720530394, 0.8782027338930132]]","[array([0., 0., 0., 0., 0.]), array([1., 0., 0., 0., 0.]), array([1., 1., 0., 0., 0.]), array([1., 1., 1., 0., 0.]), array([1., 1., 1., 0., 0.])]",0.0035154877667763146
3,6,"[[0.4116792620484667, 0.8685380685253618, 0.8252565578586682], [0.30950486242864417, 0.12976996306658295, 0.624095616736754], [0.5653771729640744, 0.5186813660902382, 0.525203772610057], [0.8304321615188799, 0.22669091038624756, 0.13841449880245194], [0.5907952003912209, 0.6541117249191374, 0.06291836260871997], [0.27722124064060316, 0.3638012488463618, 0.8873616184149622]]","[array([0., 0., 0., 0., 0., 0.]), array([1., 0., 0., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0.]), array([0., 1., 1., 0., 0., 0.]), array([0., 1., 1., 1., 0., 0.]), array([1., 1., 1., 1., 1., 0.])]",6.489990865657559e-30
