feat_dim,num_canonical_actions,num_complex_actions,complex_task_acc
2,2,6,0.8766666666666667
2,2,9,0.8377777777777778
2,2,12,0.8416666666666666
2,3,6,0.8833333333333334
2,3,9,0.8333333333333334
2,3,12,0.8491666666666667
2,4,6,0.915
2,4,9,0.8644444444444443
2,4,12,0.8833333333333332
2,5,6,0.8949999999999999
2,5,9,0.8655555555555555
2,5,12,0.8675
3,2,6,0.8416666666666666
3,2,9,0.7988888888888889
3,2,12,0.805
3,3,6,0.8616666666666667
3,3,9,0.8133333333333332
3,3,12,0.8266666666666665
3,4,6,0.8416666666666666
3,4,9,0.7977777777777778
3,4,12,0.8
3,5,6,0.8566666666666667
3,5,9,0.8055555555555556
3,5,12,0.8158333333333333
