ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,player_id,survey_id,Q0,Q33,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q80,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,player_id,survey_id,User ID,Rate the following (on a scale of 1-7) based on your experience in Condition I.,The robot and I worked fluently together (as a team).,The robot contributed to the fluency of the interaction.,I had to carry the weight to make the human-robot team better.,The robot contributed equally to the team performance.,I was the most important team member on the team.,The robot was the most important team member on the team.,I trusted the robot to do the right thing at the right time.,The robot was trustworthy.,The robot was intelligent.,The robot does not understand my preferred sequence.,I was satisfied with the team performance.,The robot increased the productivity of the team.,The robot accurately anticipated my actions.,I would work with the robot the next time the tasks were to be completed.,The robot made me (want to) change my mind during the task.,Rate the following (on a scale of 1-7) based on your experience in Condition II.,"The robot and I worked fluently together (as a team). (For Condition I, you rated = ...","The robot contributed to the fluency of the interaction. (For Condition I, you rated = ...","I had to carry the weight to make the human-robot team better. (For Condition I, you rated = ...","The robot contributed equally to the team performance. (For Condition I, you rated = ...","I was the most important team member on the team. (For Condition I, you rated = ...","The robot was the most important team member on the team. (For Condition I, you rated = ...","I trusted the robot to do the right thing at the right time. (For Condition I, you rated = ...","The robot was trustworthy. (For Condition I, you rated = ${q://QID65/ChoiceGroup/SelectedChoices})","The robot was intelligent. (For Condition I, you rated = ${q://QID66/ChoiceGroup/SelectedChoices})","The robot does not understand my preferred sequence. (For Condition I, you rated = ...","I was satisfied with the team performance. (For Condition I, you rated = ...","The robot increased the productivity of the team. (For Condition I, you rated = ...","The robot accurately anticipated my actions. (For Condition I, you rated = ...","I would work with the robot the next time the tasks were to be completed. (For Condition I, you r...","The robot made me (want to) change my mind during the task. (For Condition I, you rated = ...",Which robot condition would you prefer to work with and why?,LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'embeddedData-player_id'},{'ImportId': 'embeddedData-survey_id'},{'ImportId': 'QID16-TEXT'},{'ImportId': 'QID60'},{'ImportId': 'QID32'},{'ImportId': 'QID63'},{'ImportId': 'QID76'},{'ImportId': 'QID77'},{'ImportId': 'QID78'},{'ImportId': 'QID79'},{'ImportId': 'QID64'},{'ImportId': 'QID65'},{'ImportId': 'QID66'},{'ImportId': 'QID67'},{'ImportId': 'QID68'},{'ImportId': 'QID69'},{'ImportId': 'QID71'},{'ImportId': 'QID72'},{'ImportId': 'QID73'},{'ImportId': 'QID80'},{'ImportId': 'QID81'},{'ImportId': 'QID82'},{'ImportId': 'QID83'},{'ImportId': 'QID84'},{'ImportId': 'QID85'},{'ImportId': 'QID86'},{'ImportId': 'QID87'},{'ImportId': 'QID88'},{'ImportId': 'QID89'},{'ImportId': 'QID90'},{'ImportId': 'QID91'},{'ImportId': 'QID92'},{'ImportId': 'QID93'},{'ImportId': 'QID94'},{'ImportId': 'QID95'},{'ImportId': 'QID61-TEXT'},{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_1GZbNZroRorFqNj,null,207.151.52.33,1/21/2022 14:55,1/21/2022 16:50,,,,,1,0,91124,29596,48,1,6,5,5,5,5,2,5,5,5,5,5,5,5,4,1,1,5,4,4,5,5,2,4,4,4,3,4,4,5,4,1,"2nd one, the proactive one.",34.03219604,-118.2835999,-1
R_vGhisck5k3VpdKN,null,207.151.52.33,1/24/2022 13:55,1/24/2022 15:27,,,,,1,0,74806,52995,46,1,5,2,7,2,7,1,7,7,7,1,6,5,1,4,1,1,3,1,7,3,7,1,3,3,6,1,4,1,5,4,1,Condition I as there are nuances like when I am getting main wing I want robot to deliver tail wing.,34.03219604,-118.2835999,-1
R_BMo1xBKIsLHUdd7,null,207.151.52.33,1/24/2022 18:49,1/24/2022 20:10,,,,,1,0,53651,44681,45,1,5,5,6,2,6,1,3,5,2,2,5,5,3,5,6,1,5,5,6,2,7,1,5,5,6,3,6,6,6,6,7,Condition 2 as I dont have to select parts. Helped me not have to think about the names of the parts.,34.03219604,-118.2835999,-1
R_yvwJqQSH17nrjfb,null,207.151.52.33,1/25/2022 17:07,1/25/2022 18:24,,,,,1,0,22733,51617,44,1,5,4,3,3,6,4,7,6,3,3,5,6,3,5,2,1,5,4,3,4,6,4,7,7,2,3,6,6,2,6,1,Condition I as condition II gives different suggestions than I want. Easier to control condition I.,34.03219604,-118.2835999,-1
R_2bNarQaZLDJK7Qy,null,207.151.52.33,1/28/2022 9:00,1/28/2022 12:36,,,,,1,0,32148,99379,43,1,5,5,4,5,5,3,5,4,4,3,5,5,4,5,3,1,6,6,4,5,4,4,6,6,6,3,5,6,6,6,3,Condition II as it predicted the next action,34.03219604,-118.2835999,-1
R_3fSIxkRLZx8puTO,null,172.58.25.233,1/28/2022 17:46,1/28/2022 18:04,,,,,1,0,15894,36464,42,1,4,3,5,3,5,3,5,5,3,4,4,4,3,4,2,1,5,5,3,3,5,3,5,5,5,3,5,5,5,5,2,Condition 2. The robot was able to switch its recommendations to handle my different build order and its recommendations smoothed up the various subtasks,33.97200012,-118.2420044,-1
R_1dgFiZ8ZX7EcCbu,null,207.151.52.33,2/6/2022 10:09,2/6/2022 12:32,,,,,1,0,60298,72893,1,1,6,6,4,5,6,3,6,6,3,1,6,5,1,6,1,1,6,6,5,3,6,2,6,6,5,2,6,5,5,5,5,Condition I if I have performed the task before. Condition II only for new task as the robot would provide info.,34.03219604,-118.2835999,-1
R_9KWvIvMuHjJBjBD,null,207.151.52.33,2/6/2022 12:45,2/6/2022 15:36,,,,,1,0,77609,88848,2,1,4,5,3,2,6,1,3,3,1,7,3,2,4,4,1,1,4,5,2,3,6,1,6,4,3,3,6,4,4,4,1,Condition II. Most of the times it predicted right and easier to select parts.,34.03219604,-118.2835999,-1
R_2SjCqbyRxDruyJk,null,207.151.52.33,2/6/2022 15:36,2/6/2022 17:52,,,,,1,0,56720,14532,3,1,2,2,2,4,5,2,2,4,2,2,3,4,1,4,2,1,2,3,2,4,5,2,3,4,3,2,3,5,2,4,3,With suggestions. Some task are accurately suggested so helpful.,34.03219604,-118.2835999,-1
